Pad Number,Engineering Label (Thunder),Pre-IO Coordinate,Pin Type,Pin Display Name,DI_ICE4T,CM225,UWG30,SG48,FWG49,WLCSP30,QFN48
0,GND,,GND,,0,A12,B4,,D4,B4,
1,GND,,GND,,1,A4,,,D5,,
2,IOB_0a,"5,0,0",PIO,,2,M7,E5,46,E6,E5,46
3,IOB_1b,"5,0,1",PIO, ,3,R3,,,,,
4,IOB_2a,"6,0,0",PIO, ,4,P4,D5,47,F6,D5,47
5,IOB_3b_G6,"6,0,1",PIO_GBIN, ,5,L6,F5,44,F7,F5,44
6,IOB_4a,"7,0,0",PIO, ,6,M6,,48,G7,,48
7,IOB_5b,"7,0,1",PIO, ,7,R4,,45,G6,,45
8,Vccio2,,VCCIO_2,,8,K8,C4,1,E5,C4,1
9,Vccio2,,VCCIO_2,,9,P3,C4,1,E5,C4,1
10,IOB_6a,"8,0,0",PIO,,10,A15,,2,E7,,2
11,IOB_7b,"8,0,1",PIO,,11,N5,,,,,
12,IOB_8a,"9,0,0",PIO,,12,N6,,4,G5,,4
13,IOB_9b,"9,0,1",PIO,,13,N7,E4,3,F5,E4,3
14,vpp2v5_bot,,VPP,VPP2V5_bot,14,E12,D4,,C3,D4,
15,vppfast,,VPP,VPPFAST,15,D12,,,,,
16,SPI_Vccio1,,VDDIO_SPI,SPI_VCC,16,E1,D2,,D3,D2,
17,IOB_10a,"12,0,0",PIO,,17,P5,C3,,,C3,
18,IOB_11b_G5,"12,0,1",PIO_GBIN,,18,P6,F4,,,F4,
19,VCC,,VCC,,19,A14,C2,5,C5,C2,5
20,VCC,,VCC,,20,F10,C2,5,E4,C2,5
21,SPI_Vccio1,,VDDIO_SPI,SPI_VCC,21,G6,D2,22,D3,D2,22
22,IOB_12a_G4,"13,0,0",PIO_GBIN,,22,A5,D3,,,D3,
23,IOB_13b,"13,0,1",PIO,,23,H4,E3,6,A1,E3,6
24,IOB_14a,"14,0,0",PIO,,24,R5,,,,,
25,IOB_15b,"14,0,1",PIO,,25,J1,,,,,
26,cdone,,CDONE,,26,M10,D3,7,F4,D3,7
27,creset_b,,CRESET_B,,27,N11,F3,8,G4,F3,8
28,SPI_Vccio1,,VDDIO_SPI,SPI_VCC,28,J6,D2,,D3,D2,
29,SPI_Vccio1,,VDDIO_SPI,SPI_VCC,29,J6,,22,D3,,22
30,IOB_16a,"15,0,0",PIO,,30,E5,,9,B1,,9
31,IOB_17b,"15,0,1",PIO,,31,D3,,,,,
